j,Upper Bound,Unoptimized time,Optimized time
2,20,0.009500499989371747,0.005231800023466349
3,30,0.04958360001910478,0.03653840004699305
4,40,0.20573929999954998,0.06777779996627942
5,50,0.2099640999804251,0.16358130000298843
6,60,0.8461055000079796,0.41718210000544786
7,70,1.1826132999849506,0.3051489000208676
8,80,0.37958579999394715,0.28205740003613755
9,90,0.6008482999750413,0.4886179000022821
10,100,1.5623164999997243,0.4346580000128597
11,110,3.0427388999960385,1.1048535999725573
12,120,0.9402244000229985,0.5928301999811083
13,130,0.4552430000039749,0.23995730001479387
14,140,9.408367500000168,4.254234199994244
15,150,12.045655499969143,1.3855006999801844
16,160,12.480193900002632,1.916180300002452
17,170,16.974972399999388,1.7594502999563701
18,180,15.576291000004858,1.2883860999718308
19,190,14.166398799978197,1.9531248999992386
20,200,17.413100800011307,3.199954000010621
